,news_id,subject,relation,object,node1_t1,node2_t1,node1_t2,node2_t2,node1_t3,node2_t3
315,35,Ariana DeBose,slams,Critics Choice Awards joke about her singing abilities,['ariana debose'],"['critics', 'awards']",ariana debose,critics,Ariana Debose,Critics
329,36,Mastodon instance,disappeared because,Taliban,['mastodon'],['taliban'],Mastodon,Taliban,Mastodon,Taliban
333,37,Ohio Secretary Republican candidate Frank LaRose,has,pro-LGBTQ agenda,"['ohio', 'republican', 'frank larose']",['pro-lgbtq agenda'],Ohio,pro-lgbtq agenda,Ohio,Pro-Lgbtq Agenda
334,37,Donald Trump Jr. ad,exposing,Ohio Secretary Republican candidate Frank LaRose 's pro-LGBTQ agenda,['donald trump jr.'],"['ohio', 'republican', 'frank larose', ""'s pro-lgbtq agenda""]",Donald Trump Jr,Ohio,Donald Trump Jr,Ohio
338,38,Polish state TV host,decries,past anti-LGBT output,"['polish', 'state tv host']",['past anti-lgbt output'],Polish state,past anti-lgbt output,Polish State,Past Output
340,38,state TV host,decries,past output,['state tv host'],['past output'],state tv host,past output,State Tv Host,Past Output
342,38,Wojciech Szelag,apologised for,TVP Info channel 's hateful words targeted at them,['wojciech szelag'],"['tvp info', ""channel 's hateful words""]",wojciech szelag,TVP Info,Wojciech Szelag,Tvp Info
345,38,Wojciech Szelag,apologised to,LGBT people,['wojciech szelag'],['lgbt'],wojciech szelag,lgbt,Wojciech Szelag,Lgbt
347,38,TVP Info channel,for,hateful words targeted at them,['tvp info'],['hateful words'],TVP Info,hateful words,Tvp Info,Hateful Words
353,39,Super Bowl watchers,see For,2nd straight year,['bowl watchers'],['straight year'],Super Bowl,straight year,Super Bowl,Year  Ads
356,39,year ’s ads,were overseen by,donor to legal organization,['year ’ s ads'],['legal organization'],year  ads,legal organization,Year  Ads,Legal Organization
367,40,beer brand,took time,While has surrounded by controversy in recent months,['beer brand'],['recent months'],beer brand,recent months,Beer Brand,Recent Months
375,40,Bud Light,has,has surrounded by controversy in recent months,['bud'],['recent months'],Bud Light,recent months,Bud Light,Recent Months
380,41,Taylor Swift 's Super Bowl Shoe Detail,Sends Internet Into,Meltdown,"['taylor swift', 'shoe detail']",['meltdown'],Taylor Swift,meltdown,Taylor Swift,Meltdown
381,41,Taylor Swift 's Super Bowl Shoe Detail,Sends,Internet,"['taylor swift', 'shoe detail']",['internet'],Taylor Swift,Internet,Taylor Swift,Internet
382,41,Taylor Swift,has,Super Bowl Shoe Detail,['taylor swift'],['shoe detail'],Taylor Swift,shoe detail,Taylor Swift,Shoe Detail
384,41,Swift,went out,Travis Kelce,['swift'],['travis kelce'],Taylor Swift,Travis Kelce,Taylor Swift,Travis Kelce
388,42,Randi Mahomes,shared,edition merchandise,['randi mahomes'],['edition merchandise'],Patrick Mahomes,edition merchandise,Patrick Mahomes,Edition Merchandise
389,42,Randi Mahomes,even gave,discount code,['randi mahomes'],['discount code'],Patrick Mahomes,discount code,Patrick Mahomes,Discount Code
390,42,Randi Mahomes,shared edition merchandise on,social media,['randi mahomes'],['social media'],Patrick Mahomes,social media,Patrick Mahomes,Social Media
395,43,Travis Kelce,Gesture at,Super Bowl Afterparty,['travis kelce'],['afterparty'],Travis Kelce,Afterparty,Travis Kelce,Afterparty
396,43,Taylor Swift,has,Heartwarming Gesture at Super Bowl Afterparty,['taylor swift'],"['heartwarming gesture', 'afterparty']",Taylor Swift,heartwarming gesture,Taylor Swift,Heartwarming Gesture
402,44,Taylor Swift Lucky Number Super Bowl Stats,Go,Viral,"['taylor swift lucky number', 'stats']",['viral'],Taylor Swift,Go Viral,Taylor Swift,Go Viral
404,44,Swift,used,her lucky number,['swift'],['lucky number'],Taylor Swift,lucky number,Taylor Swift,Lucky Number
412,44,her lucky number,reveal,her new album,['lucky number'],['new album'],lucky number,The New,Lucky Number,The New
413,45,Super Bowl Fans,Outraged Over,Justin Bieber,['fans'],['justin bieber'],Super Bowl Fans,Justin Bieber,Super Bowl Fans,Justin Bieber
416,45,Usher,signed Justin Bieber to,his record label,['usher'],['record label'],usher,record label,Usher,Record Label
417,45,Usher,signed,Justin Bieber,['usher'],['justin bieber'],usher,Justin Bieber,Usher,Justin Bieber
419,46,Lip Readers,De-Code,Taylor Swift Super Bowl Chat,['lip readers'],"['taylor swift', 'chat']",Lip Readers,Taylor Swift,Lip Readers,Taylor Swift
420,46,Lip Readers,De-Code,Kylie Kelce,['lip readers'],['kylie kelce'],Lip Readers,Travis Kelce,Lip Readers,Travis Kelce
429,47,Bill Ackman,’s,fight against Harvard,['bill ackman'],['harvard'],Bill Ackman,Harvard,Bill Ackman,Harvard
433,47,Bill Ackman ’s fight,has made,him public face,"['bill ackman', '’ s fight']",['public face'],Bill Ackman,public face,Bill Ackman,Public Face
439,47,Bill Ackman ’s fight,has made,him face of billionaire class,"['bill ackman', '’ s fight']",['billionaire class'],Bill Ackman,billionaire class,Bill Ackman,Billionaire Class
443,48,head House race,foreshadows,national elections,['head house race'],['national elections'],head House,national elections,Head House,National Elections
444,48,head House race,foreshadows elections In,New York,['head house race'],['york'],head House,New York,Head House,New York
447,48,special election,is in,Long Island,['special election'],['long island'],special election,Long Island,Special Election,Long Island
448,49,Silicon Valley,Has,Harvard Problem,['silicon'],['harvard problem'],Silicon Valley,Harvard,Silicon Valley,Harvard
449,49,Silicon Valley establishment,grown,so suspicious of original belief,"['silicon', 'valley establishment']",['original belief'],Silicon Valley,original belief,Silicon Valley,Original Belief
455,50,Activist Simon Fanshawe,named as,University of Edinburgh rector,['activist simon fanshawe'],['edinburgh'],Simon Fanshawe,edinburgh,Simon Fanshawe,Edinburgh
456,50,Activist Simon Fanshawe,named as,University rector,['activist simon fanshawe'],['university rector'],Simon Fanshawe,university rector,Simon Fanshawe,University Rector
496,54,Law enforcement,dominates at_time,1st day,['law enforcement'],['1st day'],law enforcement,1st day,Law Enforcement,1St Day
499,54,Law enforcement,dominates at_time,day of Minnesota Legislature 's 2024 session,['law enforcement'],"['minnesota', ""legislature 's""]",law enforcement,Minnesota,Law Enforcement,Minnesota
