,ent_name,ent_link,ent_class,ent_conf
144,Human Rights Campaign,http://dbpedia.org/resource/Human_Rights_Campaign,dbpedia-owl:Organisation|dbpedia-owl:Person,0.61
145,Ohio,http://dbpedia.org/resource/Ohio,dbpedia-owl:PopulatedPlace,0.56
146,Donald Trump,http://dbpedia.org/resource/Donald_Trump,dbpedia-owl:Person,0.77
147,Democratic incumbent,http://dbpedia.org/resource/Democratic_Party_(United_States),dbpedia-owl:Organisation|dbpedia-owl:Person,-0.5349999999999995
148,Sherrod Brown,http://dbpedia.org/resource/Sherrod_Brown,dbpedia-owl:Person,0.865
149,Graphic novel,http://dbpedia.org/resource/Graphic_novel,owl:Thing,-0.67
150,Berlin,http://dbpedia.org/resource/Berlin,dbpedia-owl:PopulatedPlace,0.62
151,Moom,http://dbpedia.org/resource/Moom,owl:Thing,-0.86
152,Comics,http://dbpedia.org/resource/Comics,dbpedia-owl:Person,-0.78
153,Best Buy,http://dbpedia.org/resource/Best_Buy,dbpedia-owl:Organisation,0.79
154,Northants,http://dbpedia.org/resource/Northamptonshire,dbpedia-owl:PopulatedPlace,-0.5222750829672262
155,Middlesex,http://dbpedia.org/resource/Middlesex,,-0.75
156,Venice,http://dbpedia.org/resource/Venice,dbpedia-owl:PopulatedPlace,-0.58
157,Venice Biennale,http://dbpedia.org/resource/Venice_Biennale,,0.6766666666666666
158,the BFI,http://dbpedia.org/resource/British_Film_Institute,dbpedia-owl:Organisation,-0.5480952380952381
159,", London",http://dbpedia.org/resource/London,dbpedia-owl:PopulatedPlace,0.7000000000000006
160,King James I,http://dbpedia.org/resource/James_VI_and_I,dbpedia-owl:Person,0.5596000000000001
161,Bible,http://dbpedia.org/resource/Bible,dbpedia-owl:Person,-0.56
162,King James Version of the Bible,http://dbpedia.org/resource/King_James_Version,,-0.5988333333333332
163,fundamentalist Christian,http://dbpedia.org/resource/Christian_fundamentalism,owl:Thing,-0.679788887906401
164,God Bless the USA,http://dbpedia.org/resource/God_Bless_the_USA,,-0.589
165,U.S. Constitution,http://dbpedia.org/resource/United_States_Constitution,dbpedia-owl:Person,-0.65
166,Declaration of Independence,http://dbpedia.org/resource/United_States_Declaration_of_Independence,dbpedia-owl:Person,-0.82
167,Hilary Cass,http://dbpedia.org/resource/Hilary_Cass,owl:Thing,-0.7296376376449174
168,Jerrod Carmichael,http://dbpedia.org/resource/Jerrod_Carmichael,dbpedia-owl:Person,0.91
169,Dave Chappelle,http://dbpedia.org/resource/Dave_Chappelle,dbpedia-owl:Person,0.855
170,Egomaniac,http://dbpedia.org/resource/Egomania,owl:Thing,-0.88
171,Ramadan,http://dbpedia.org/resource/Ramadan,,-0.63
172,how 2,http://dbpedia.org/resource/How_2,,-0.69
173,Muslim,http://dbpedia.org/resource/Muslim,dbpedia-owl:Person,-0.67
174,Mishka,http://dbpedia.org/resource/Mishka,dbpedia-owl:Person,-0.7166666666666667
175,Gaza,http://dbpedia.org/resource/Gaza_City,dbpedia-owl:PopulatedPlace,-0.78
176,Ugandan,http://dbpedia.org/resource/Uganda,dbpedia-owl:PopulatedPlace,0.55
177,Western sanctions,http://dbpedia.org/resource/International_sanctions_during_the_Ukrainian_crisis,owl:Thing,-0.7088095238095238
178,Alabama,http://dbpedia.org/resource/Alabama,dbpedia-owl:PopulatedPlace,0.5007692307692309
179,judge shopping,http://dbpedia.org/resource/Forum_shopping,,-0.5288095238095241
180,Provincetown,"http://dbpedia.org/resource/Provincetown,_Massachusetts",dbpedia-owl:PopulatedPlace,0.66
181,Will &amp; Grace,http://dbpedia.org/resource/Will_&_Grace,,0.56
182,Eric McCormack,http://dbpedia.org/resource/Eric_McCormack,dbpedia-owl:Person,0.77
183,Eucharistic,http://dbpedia.org/resource/Eucharist,owl:Thing,-0.5316666666666666
184,Idaho,http://dbpedia.org/resource/Idaho,dbpedia-owl:PopulatedPlace,0.59
185,health insurance,http://dbpedia.org/resource/Health_insurance,owl:Thing,-0.6266666666666666
186,Medicaid,http://dbpedia.org/resource/Medicaid,owl:Thing,-0.5216666666666666
187,U.K.,http://dbpedia.org/resource/United_Kingdom,dbpedia-owl:PopulatedPlace,-0.57
188,Hastings Museum and Art Gallery,http://dbpedia.org/resource/Hastings_Museum_and_Art_Gallery,owl:Thing,-0.7023333333333334
189,animal behavior,http://dbpedia.org/resource/Ethology,owl:Thing,-0.7049999999999998
190,Hastings,http://dbpedia.org/resource/Hastings,dbpedia-owl:PopulatedPlace,-0.68
191,Moscow,http://dbpedia.org/resource/Moscow,dbpedia-owl:PopulatedPlace,-0.64
192,across the US,http://dbpedia.org/resource/King_assassination_riots,owl:Thing,-0.805
193,Dr. Jill Biden,http://dbpedia.org/resource/Jill_Biden,dbpedia-owl:Person,0.6268333333333334
194,National Center For Transgender Equality,http://dbpedia.org/resource/National_Center_for_Transgender_Equality,dbpedia-owl:Organisation,0.8991666666666667
195,Tinder,http://dbpedia.org/resource/Tinder,owl:Thing,-0.86
196,Bloomberg,http://dbpedia.org/resource/Bloomberg_L.P.,dbpedia-owl:Organisation,-0.8
197,Inc,http://dbpedia.org/resource/Indian_National_Congress,dbpedia-owl:Organisation,-0.5539999999999999
198,Boise State University,http://dbpedia.org/resource/Boise_State_University,dbpedia-owl:Organisation,0.7396
199,Oliver Stark,http://dbpedia.org/resource/Oliver_Stark,owl:Thing,-0.7321071428571428
200,ABC,http://dbpedia.org/resource/American_Broadcasting_Company,dbpedia-owl:Organisation,-0.5292307692307692
201,Founder,http://dbpedia.org/resource/Entrepreneurship,owl:Thing,-0.76
202,Travel,http://dbpedia.org/resource/Travel,dbpedia-owl:Person,-0.84
203,trailblazer,http://dbpedia.org/resource/Trailblazer_(roller_coaster),,0.5005
204,Notorious B.I.G.,http://dbpedia.org/resource/The_Notorious_B.I.G.,dbpedia-owl:Person,-0.6239999999999999
205,sexual health,http://dbpedia.org/resource/Reproductive_health,owl:Thing,-0.6966666666666667
206,Mister Cee,http://dbpedia.org/resource/Mister_Cee,dbpedia-owl:Person,0.9
207,sexual revolution,http://dbpedia.org/resource/Sexual_revolution,owl:Thing,-0.6249999999999999
208,Holding the Man,http://dbpedia.org/resource/Holding_the_Man,owl:Thing,-0.655
209,Timothy Conigrave,http://dbpedia.org/resource/Timothy_Conigrave,dbpedia-owl:Person,0.6681666666666666
210,AIDS epidemic,http://dbpedia.org/resource/Epidemiology_of_HIV/AIDS,,-0.8399999999999982
211,Overlap,http://dbpedia.org/resource/Concurrency_(road),owl:Thing,-0.7
212,James Carville,http://dbpedia.org/resource/James_Carville,dbpedia-owl:Person,0.8375
213,Planet Fitness,http://dbpedia.org/resource/Planet_Fitness,dbpedia-owl:Organisation,0.725
214,transgender rights,http://dbpedia.org/resource/LGBT_rights_by_country_or_territory,owl:Thing,-0.69
215,Ricky Martin,http://dbpedia.org/resource/Ricky_Martin,dbpedia-owl:Person,0.57
216,child pornography,http://dbpedia.org/resource/Child_pornography,dbpedia-owl:Person,-0.505
217,Queer,http://dbpedia.org/resource/Queer,owl:Thing,-0.85
218,Princeton University,http://dbpedia.org/resource/Princeton_University,dbpedia-owl:Organisation,0.78
219,bachelor’s degree,http://dbpedia.org/resource/Bachelor's_degree,dbpedia-owl:Person,-0.7325320183030906
220,classical philosophy,http://dbpedia.org/resource/Ancient_philosophy,owl:Thing,-0.83
221,NYC,http://dbpedia.org/resource/New_York_City,dbpedia-owl:PopulatedPlace,0.5807692307692314
222,Staten Island,http://dbpedia.org/resource/Staten_Island,dbpedia-owl:PopulatedPlace,0.74
223,Police,http://dbpedia.org/resource/Police,dbpedia-owl:Person,-0.73
224,NCAA women's basketball,http://dbpedia.org/resource/NCAA_Women's_Division_I_Basketball_Championship,dbpedia-owl:Organisation,-0.6666820276497696
225,University of Utah,http://dbpedia.org/resource/University_of_Utah,dbpedia-owl:Organisation,0.75
226,"Coeur D'Alene, Idaho","http://dbpedia.org/resource/Coeur_d'Alene,_Idaho",dbpedia-owl:PopulatedPlace,0.6655
227,"Spokane, Washington","http://dbpedia.org/resource/Spokane,_Washington",dbpedia-owl:PopulatedPlace,0.5527272727272727
228,Germany,http://dbpedia.org/resource/Germany,dbpedia-owl:PopulatedPlace,0.51
229,Jewish doctor,http://dbpedia.org/resource/Medicine_in_the_medieval_Islamic_world,owl:Thing,-0.7021428571428571
230,Legislature,http://dbpedia.org/resource/Legislature,dbpedia-owl:Person,-0.7566666666666667
231,marriage between first cousins,http://dbpedia.org/resource/Cousin_marriage,owl:Thing,-0.5661428571428572
232,Fine Gael,http://dbpedia.org/resource/Fine_Gael,dbpedia-owl:Organisation|dbpedia-owl:Person,0.565
233,Leo Varadkar,http://dbpedia.org/resource/Leo_Varadkar,dbpedia-owl:Person,0.8875
234,general election in the Republic of Ireland,"http://dbpedia.org/resource/Irish_general_election,_2011",,-0.5888095238095238
235,University of Missouri,http://dbpedia.org/resource/University_of_Missouri,dbpedia-owl:Organisation,-0.68
236,Nashville,"http://dbpedia.org/resource/Nashville,_Tennessee",dbpedia-owl:PopulatedPlace,0.57
237,Tulsa County,"http://dbpedia.org/resource/Tulsa_County,_Oklahoma",dbpedia-owl:PopulatedPlace,0.8046666666666666
238,district attorney,http://dbpedia.org/resource/District_attorney,owl:Thing,-0.84
239,Sacramento,"http://dbpedia.org/resource/Sacramento,_California",dbpedia-owl:PopulatedPlace,0.5867391304347827
240,Calif,http://dbpedia.org/resource/California,dbpedia-owl:PopulatedPlace,0.6048190075469183
241,video gamers,http://dbpedia.org/resource/Video_game,dbpedia-owl:Person,-0.5745543773579036
242,Independent,http://dbpedia.org/resource/Independent_politician,owl:Thing,-0.74
243,climate change,http://dbpedia.org/resource/Climate_change,dbpedia-owl:Person,-0.55
244,Indonesia,http://dbpedia.org/resource/Indonesia,dbpedia-owl:PopulatedPlace,-0.51
245,The Independent,http://dbpedia.org/resource/The_Independent,,-0.58
246,Reuters,http://dbpedia.org/resource/Reuters,dbpedia-owl:Organisation,-0.54
247,Australia,http://dbpedia.org/resource/Australia,dbpedia-owl:PopulatedPlace,0.6
248,UN,http://dbpedia.org/resource/United_Nations,dbpedia-owl:PopulatedPlace|dbpedia-owl:Organisation|dbpedia-owl:Person,-0.6266666666666666
249,Caucasus,http://dbpedia.org/resource/Caucasus,dbpedia-owl:Person,-0.71
250,Parliament Majority,http://dbpedia.org/resource/March_14_Alliance,dbpedia-owl:Organisation,0.5808571428571428
