,ent_link,news_id,cluster,ent_name,assigned_cluster,news_links,news_count
63,http://dbpedia.org/resource/Canada,227,[8],Canada,8,https://www.advocate.com/politics/celebrities-anti-trans-laws-canada,1
64,http://dbpedia.org/resource/Capital_punishment,"313,250,251","[8, 2, 2]",Death Penalty,2,"https://www.advocate.com/news/elon-musk-x-twitter-lgbtq-death-penalty, https://www.nbcnews.com/nbc-out/out-news/ugandas-prominent-lgbtq-activist-says-newly-upheld-anti-gay-law-will-p-rcna146278, https://www.nbcnews.com/news/world/ugandan-court-rejects-bid-nullify-anti-gay-law-death-penalty-rcna146155",3
65,http://dbpedia.org/resource/Captain_Moonlite,118,[8],Captain Moonlite,8,https://www.abc.net.au/news/2024-03-23/captain-moonlite-james-nesbitt-graves-heritage-register/103622070,1
66,http://dbpedia.org/resource/Cardiff,258,[3],Cardiff,3,https://www.bbc.co.uk/news/uk-wales-68731593,1
67,http://dbpedia.org/resource/Carly_Rae_Jepsen,227,[8],Carly Rae Jepsen,8,https://www.advocate.com/politics/celebrities-anti-trans-laws-canada,1
68,http://dbpedia.org/resource/Casablanca,194,[3],Casablanca,3,https://www.forbes.com/sites/entertainment/article/best-drama-movies/,1
69,http://dbpedia.org/resource/Catholic_Church,299,[7],Catholic Teachings,7,https://www.forbes.com/sites/roberthart/2024/04/08/vatican-condemns-gender-affirming-surgery-gender-theory-and-surrogacy-as-threats-to-human-dignity/,1
70,http://dbpedia.org/resource/Caucasus,134,[2],Caucasus,2,https://www.naturalnews.com/2024-03-25-dont-confuse-minority-rights-harmful-consequences-lgbt-propaganda.html,1
71,http://dbpedia.org/resource/Caucus,93,[2],Caucus,2,https://www.advocate.com/politics/house-advances-anti-lgbtq-bills,1
72,http://dbpedia.org/resource/Cautionary_tale,161,[3],Cautionary Tale,3,https://www.forbes.com/sites/juliekratz/2024/03/27/boeing-a-cautionary-tale-in-psychological-safety/,1
73,http://dbpedia.org/resource/Ceasefire,192,[1],Cease-Fire,1,https://www.forbes.com/sites/jamesfarrell/2024/03/29/nine-eurovision-acts-call-for-israel-hamas-cease-fire-but-will-stop-short-of-boycott/,1
74,http://dbpedia.org/resource/Centers_for_Disease_Control_and_Prevention,"162,188","[4, 1]",Cdc,4,"https://abcnews.go.com/Health/mpox-cases-double-same-time-year/story?id=108628263, https://abcnews.go.com/Health/mpox-rise-eligible-vaccine-booster/story?id=108665009",2
75,http://dbpedia.org/resource/Central_Park,127,[4],New York'S Central Park,4,https://www.cbsnews.com/video/christian-cooper-the-extraordinary-birder/,1
76,http://dbpedia.org/resource/Ceuta,50,[7],"Ceuta, Spain",7,https://www.naturalnews.com/2024-03-18-spanish-corporal-self-declared-gender-change-pay-increase.html,1
77,http://dbpedia.org/resource/Chaco_Province,289,[8],Chaco,8,https://www.naturalnews.com/2024-04-08-north-face-target-lgbt-youth-camp-genderless.html,1
78,http://dbpedia.org/resource/Chechnya,309,[1],Chechnya,1,https://www.npr.org/2024/04/09/1243632570/chechnya-music-ban-bpm,1
79,http://dbpedia.org/resource/Chemical_castration,363,[5],Chemical Castration,5,https://www.naturalnews.com/2024-04-13-lgbtz-transgenderism-and-zionism-in-common.html,1
80,http://dbpedia.org/resource/Chicago,"368,69","[4, 8]",Chicago,4,"https://www.breitbart.com/politics/2024/04/14/far-left-activists-chicago-filmed-cheering-irans-major-attack-israel-radical-left-sick/, https://www.advocate.com/crime/trans-migrant-shot-chicago",2
81,http://dbpedia.org/resource/Chicago_Police_Department,69,[8],Chicago Police,8,https://www.advocate.com/crime/trans-migrant-shot-chicago,1
82,http://dbpedia.org/resource/Chicago_Sun-Times,69,[8],Chicago Sun-Times,8,https://www.advocate.com/crime/trans-migrant-shot-chicago,1
83,http://dbpedia.org/resource/Chief_executive_officer,286,[4],Ceo,4,https://abcnews.go.com/Business/inflation-alarm-extraordinary-ai-4-takeaways-jamie-dimons/story?id=108996449,1
84,http://dbpedia.org/resource/Child_pornography,285,[4],Child Pornography,4,https://www.naturalnews.com/2024-04-08-lgbtq-activist-arrested-possession-child-abuse-material.html,1
85,http://dbpedia.org/resource/Christian,147,[9],Christians,9,https://www.breitbart.com/education/2024/03/26/fairfax-democrats-choose-easter-sunday-as-transgender-visibility-day/,1
86,http://dbpedia.org/resource/Christian_Cooper,127,[4],Christian Cooper,4,https://www.cbsnews.com/video/christian-cooper-the-extraordinary-birder/,1
87,http://dbpedia.org/resource/Christian_Ziegler,254,[4],Christian Ziegler,4,https://www.advocate.com/news/zieglers-republican-florida-fall,1
88,http://dbpedia.org/resource/Christian_fundamentalism,277,[7],Fundamentalist Christian,7,https://www.advocate.com/history/king-james-bible-queer,1
