,title,description,url,source_name,news_id,text
43,Idaho considers a ban on using public funds or facilities for transgender care,"Idaho lawmakers are expected to vote this week on a bill that would ban the use of any public funds for gender-affirming care, including for state employees using work health insurance and for adults covered by Medicaid.",https://www.nbcnews.com/nbc-out/out-news/idaho-considers-ban-using-public-funds-facilities-transgender-care-rcna143870,NBC News,43,"Idaho considers a ban on using public funds or facilities for transgender care. Idaho lawmakers are expected to vote this week on a bill that would ban the use of any public funds for gender-affirming care, including for state employees using work health insurance and for adults covered by Medicaid."
44,April Fool’s? Calling a male person a “man” ILLEGAL in Scotland starting April 1,"In a few short weeks, it will no longer be legal for people in Scotland to refer to males as “men,” thanks to the passage of the Hate Crime and Public Order (Scotland) Bill. Said bill was passed three years ago, but will only just now come into effect on Apri…",https://www.naturalnews.com/2024-03-18-april-fools-calling-male-man-illegal-scotland.html,Naturalnews.com,44,"April Fool’s? Calling a male person a “man” ILLEGAL in Scotland starting April 1. In a few short weeks, it will no longer be legal for people in Scotland to refer to males as “men,” thanks to the passage of the Hate Crime and Public Order (Scotland) Bill. Said bill was passed three years ago, but will only just now come into effect on Apri…"
45,Southern states push forward with bills ending legal recognition for trans people,"The pace of anti-transgender legislation has slowed in recent weeks, with several states, known for previously targeting transgender individuals, failing to pass any such laws. However, a different dynamic is emerging across the Gulf South, where three states…",https://www.advocate.com/politics/anti-trans-bills-south,Advocate.com,45,"Southern states push forward with bills ending legal recognition for trans people. The pace of anti-transgender legislation has slowed in recent weeks, with several states, known for previously targeting transgender individuals, failing to pass any such laws. However, a different dynamic is emerging across the Gulf South, where three states…"
46,Wisconsin middle school faces series of bomb threats after Libs of TikTok post,A school district in Wisconsin is the latest institution receiving bomb threats after right-wing extremist Chaya Raichik targeted it with her Libs of TikTok account.,https://www.advocate.com/education/wisconsin-waukesha-libs-of-tiktok,Advocate.com,46,Wisconsin middle school faces series of bomb threats after Libs of TikTok post. A school district in Wisconsin is the latest institution receiving bomb threats after right-wing extremist Chaya Raichik targeted it with her Libs of TikTok account.
47,Bartender charged with hate crime for confronting male-to-female transgender who used women’s bathroom,"Multnomah County Circuit Court recently found a Portland bartender guilty of a hate crime because she “misgendered” a male sex at birth (AMAB) male-to-female (M2F) transgender woman who used the women’s bathroom. Cassandra McIntyre, 40, was also charged with …",https://www.naturalnews.com/2024-03-18-bartender-charged-with-hate-crime-confronting-m2f.html,Naturalnews.com,47,"Bartender charged with hate crime for confronting male-to-female transgender who used women’s bathroom. Multnomah County Circuit Court recently found a Portland bartender guilty of a hate crime because she “misgendered” a male sex at birth (AMAB) male-to-female (M2F) transgender woman who used the women’s bathroom. Cassandra McIntyre, 40, was also charged with …"
48,Planet Fitness bans member who photographed trans woman changing — and it's not sorry,Planet Fitness is standing behind its decision to ban a member who photographed a transgender woman in a locker room.,https://www.advocate.com/news/planet-fitness-bans-member-trans-woman,Advocate.com,48,Planet Fitness bans member who photographed trans woman changing — and it's not sorry. Planet Fitness is standing behind its decision to ban a member who photographed a transgender woman in a locker room.
49,BYU now requires incoming students to read controversial 'musket fire' speech,LGBTQ students and advocates at BYU in Utah slammed the school for requiring all freshmen read a controversial 2021 speech that they say incited violence and hatred against the queer community.,https://www.nbcnews.com/nbc-out/out-news/byu-freshmen-controversial-musket-fire-speech-mormon-lgbtq-utah-rcna143891,NBC News,49,BYU now requires incoming students to read controversial 'musket fire' speech. LGBTQ students and advocates at BYU in Utah slammed the school for requiring all freshmen read a controversial 2021 speech that they say incited violence and hatred against the queer community.
50,"Bearded Spanish Army corporal “equipped with male organs” legally changes gender identity to unlock better military pay package, private rooms","In Ceuta, Spain, around 40 men have declared gender change (from male to female) but maintained their name, and marital status, thus continuing with their partner and children, since the Transgender Law came into effect last year. One of them is a 35-year-old…",https://www.naturalnews.com/2024-03-18-spanish-corporal-self-declared-gender-change-pay-increase.html,Naturalnews.com,50,"Bearded Spanish Army corporal “equipped with male organs” legally changes gender identity to unlock better military pay package, private rooms. In Ceuta, Spain, around 40 men have declared gender change (from male to female) but maintained their name, and marital status, thus continuing with their partner and children, since the Transgender Law came into effect last year. One of them is a 35-year-old…"
51,Minnesota Appeals Court Affirms State Law Preventing Ban on Trans Athletes,"A Minnesota appeals court has affirmed that banning transgender ""women"" from competing as a woman in sports is a violation of Minnesota law.",https://www.breitbart.com/sports/2024/03/18/minnesota-appeals-court-affirms-state-law-preventing-ban-trans-athletes/,Breitbart News,51,"Minnesota Appeals Court Affirms State Law Preventing Ban on Trans Athletes. A Minnesota appeals court has affirmed that banning transgender ""women"" from competing as a woman in sports is a violation of Minnesota law."
52,"When Real Life Is Hostile, LGBTQ+ Gamers Find Friendship Online","Many LGBTQ+ video gamers use gaming to build community, especially in jurisdictions that are considering anti-LGBTQ+ legislation",https://www.scientificamerican.com/article/lgbtq-gaming-glaad-survey/,Scientific American,52,"When Real Life Is Hostile, LGBTQ+ Gamers Find Friendship Online. Many LGBTQ+ video gamers use gaming to build community, especially in jurisdictions that are considering anti-LGBTQ+ legislation"
53,Families Find Ways to Protect Their LGBTQ Kids from Serious Harm—Physical and Mental—after a Flood of Discriminatory Laws,"Hostility toward LGBTQ kids, enshrined in hundreds of new bills, has put families with such children under unprecedented threat, raising risks of suicide and physical attacks",https://www.scientificamerican.com/article/families-find-ways-to-protect-their-lgbtq-kids-from-serious-harm-physical/,Scientific American,53,"Families Find Ways to Protect Their LGBTQ Kids from Serious Harm—Physical and Mental—after a Flood of Discriminatory Laws. Hostility toward LGBTQ kids, enshrined in hundreds of new bills, has put families with such children under unprecedented threat, raising risks of suicide and physical attacks"
